id;spec;job_title;city;employer;schedule;experience;published;salary_from;salary_to;currency;skills
76134019;Финансовый аналитик;Финансовый менеджер/ Экономист/ Аналитик;Екатеринбург;КАПИТАЛ, Аудиторская Группа;;;2023-03-20;74000;;RUR;бухгалтерский учет, 1с: бухгалтерия, ориентация на результат, 1с: унф, 1с: предприятие 8, 1с: управление торговлей, 1с: комплексная автоматизация, управленческий учет, управленческая отчетность, формирование управленческой отчетности, анализ финансовых показателей, финансовый менеджмент, финансовый анализ, ms excel, работа с большим объемом информации, план-фактный анализ бюджета
77544287;Финансовый аналитик;Ведущий финансовый аналитик;Екатеринбург;Русская медная компания;;;2023-03-23;;;;анализ текущих финансовых показателей, ms powerpoint, подготовка презентаций, инвестиционный анализ, анализ данных, финансовое моделирование, оценка инвестиционных проектов
78632944;Финансовый аналитик;Финансовый аналитик;Екатеринбург;Уральский хризотил;;;2023-03-28;50000;80000;RUR;
78266304;Финансовый аналитик;Старший финансовый аналитик;Екатеринбург;ГЛОБАЛТРАК МЕНЕДЖМЕНТ;;;2023-03-20;;;;1с: предприятие 8, управленческая отчетность, автоматизация управленческой отчетности
77577162;Финансовый аналитик;Финансовый аналитик;Тюмень;Брусника;;;2023-03-27;60000;;RUR;
78196253;Финансовый аналитик;Главный финансовый аналитик;Тюмень;Сибинтел-Холдинг;;;2023-03-17;;;;внутренний финансовый аудит, измерение эффективности, подготовка презентаций, анализ бизнес показателей, анализ финансовых показателей, анализ текущих финансовых показателей, работа в условиях многозадачности
78948406;Финансовый аналитик;Финансовый аналитик;Челябинск;ИНВЕСТ-лизинг;;;2023-04-05;40000;80000;RUR;
78617069;Финансовый аналитик;Финансовый аналитик;Челябинск;Уралэнергосбыт;;;2023-03-29;60000;;RUR;
78139743;Финансовый аналитик;Главный специалист отдела сводного финансового анализа и экспертизы;Челябинск;Контрольно-счетная палата Челябинской области;;;2023-03-16;22300;38900;RUR;умение анализировать, электронный бюджет, знание действующего законодательства, отличное знание пк, умение работать с большим количеством информации, экономика
79009592;Финансовый аналитик;Финансовый аналитик;Краснодар;XSA ramps;;;2023-04-06;;;;анализ бизнес показателей, бддс, бдр, финансовый контроль, бюджетирование, финансовое моделирование, финансовая отчетность, управленческий учет, финансовое планирование, план-фактный анализ бюджета
